ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,P_TOTAL
21,Puebla,58,Chilchotla,1,Rafael J. García,-9710560,1915220,4869
15,México,25,Chalco,5,San Gregorio Cuautzingo,-9851280,1915220,13138
16,Michoacán de Ocampo,82,Tacámbaro,100,Santas Marías,-10131300,1915240,878
6,Colima,7,Manzanillo,13,Canoas,-10408580,1915240,363
21,Puebla,116,Quimixtlán,7,Buenavista,-9704310,1915260,1028
16,Michoacán de Ocampo,59,Nuevo Urecho,31,Tipítaro,-10151060,1915260,456
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,45,Ejido Emiliano Zapata,-9658400,1915270,338
15,México,110,Valle de Bravo,37,San Gabriel Ixtla,-10007280,1915270,1624
29,Tlaxcala,29,Tepeyanco,6,Colonia Guerrero,-9814110,1915280,620
16,Michoacán de Ocampo,83,Tancítaro,4,Aguacate del Sur,-10222460,1915280,395
21,Puebla,116,Quimixtlán,34,San Isidro Reynosa,-9704100,1915290,561
21,Puebla,143,San Salvador el Verde,9,San Andrés Hueyacatitla,-9831560,1915290,4529
15,México,62,Ocoyoacac,25,Texcalpa (Ex-Hacienda Texcalpa),-9927070,1915290,595
15,México,7,Amanalco,28,San Lucas Cuarta Sección (San Francisco),-9959080,1915290,368
6,Colima,5,Cuauhtémoc,6,Alzada,-10331420,1915300,533
21,Puebla,116,Quimixtlán,47,Villa Hermosa (San José),-9704490,1915330,533
29,Tlaxcala,50,San Francisco Tetlanohcan,1,San Francisco Tetlanohcan,-9809460,1915330,9858
15,México,118,Zinacantepec,62,San Pedro Tejalpa,-9947270,1915340,1892
15,México,62,Ocoyoacac,3,Guadalupe Victoria,-9928410,1915350,621
15,México,7,Amanalco,14,San Lucas,-9959250,1915350,1098
30,Veracruz de Ignacio de la Llave,134,Puente Nacional,35,Teopanapan,-9641120,1915370,414
15,México,54,Metepec,49,San Salvador Tizatlalli,-9935270,1915370,61367
15,México,106,Toluca,63,San Antonio Buenavista,-9942430,1915390,5937
21,Puebla,58,Chilchotla,14,San Juan del Valle,-9711490,1915400,359
21,Puebla,58,Chilchotla,10,San José Manzanitos,-9712530,1915400,1088
21,Puebla,58,Chilchotla,28,Vicente Guerrero,-9713490,1915400,722
15,México,41,Ixtapan del Oro,1,Ixtapan del Oro,-10015460,1915410,963
16,Michoacán de Ocampo,81,Susupuato,27,Las Maravillas,-10025330,1915410,414
21,Puebla,132,San Martín Texmelucan,10,San Juan Tuxco,-9827010,1915420,6170
16,Michoacán de Ocampo,46,Juárez,14,Parícuaro,-10027280,1915420,2284
21,Puebla,67,Guadalupe Victoria,2,Canoítas (San Antonio Canoítas),-9718500,1915470,576
30,Veracruz de Ignacio de la Llave,126,Paso de Ovejas,22,Loma Fina (Loma Pelona),-9624370,1915480,623
30,Veracruz de Ignacio de la Llave,134,Puente Nacional,34,La Ternera,-9636160,1915480,410
15,México,62,Ocoyoacac,9,Loma Bonita,-9926500,1915480,1146
15,México,7,Amanalco,16,San Miguel (San Miguel Tenextepec),-10001480,1915490,862
21,Puebla,116,Quimixtlán,53,Magueyitos,-9706240,1915500,341
15,México,76,San Mateo Atenco,1,San Mateo Atenco,-9931470,1915510,67890
21,Puebla,117,Rafael Lara Grajales,3,Máximo Serdán,-9749450,1915520,3998
21,Puebla,143,San Salvador el Verde,10,San Gregorio Aztotoacan,-9829310,1915520,2547
21,Puebla,143,San Salvador el Verde,8,Analco de Ponciano Arriaga (Santa Cruz Analco),-9830010,1915520,2521
15,México,62,Ocoyoacac,23,San Pedro Cholula,-9929110,1915520,8941
15,México,25,Chalco,1,Chalco de Díaz Covarrubias,-9853510,1915530,168720
16,Michoacán de Ocampo,33,Gabriel Zamora,8,Charapendo,-10203590,1915530,1118
15,México,62,Ocoyoacac,20,San Jerónimo Acazulco,-9924570,1915540,4827
15,México,62,Ocoyoacac,10,Loma de los Esquiveles,-9927040,1915540,923
15,México,54,Metepec,34,San Francisco Coaxusco,-9936530,1915560,24900
16,Michoacán de Ocampo,82,Tacámbaro,111,La Viña,-10128090,1915560,813
29,Tlaxcala,32,Tetlatlahuca,2,San Andrés Cuamilpa,-9816320,1915570,1444
21,Puebla,108,Oriental,32,San José Zacatepec,-9732050,1915580,1307
21,Puebla,143,San Salvador el Verde,14,San Simón Atzitzintla,-9828210,1915580,3404
16,Michoacán de Ocampo,83,Tancítaro,58,El Tizate,-10219020,1915580,471
15,México,51,Lerma,24,San Pedro Tultepec,-9930470,1915590,13634
30,Veracruz de Ignacio de la Llave,126,Paso de Ovejas,42,Tolome,-9623410,1916000,2715
29,Tlaxcala,60,Santa Isabel Xiloxoxtla,1,Santa Isabel Xiloxoxtla,-9812440,1916000,4436
29,Tlaxcala,19,Tepetitla de Lardizábal,1,Tepetitla,-9822550,1916000,8316
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,12,Poxtla,-9656240,1916020,554
15,México,7,Amanalco,17,San Sebastián el Chico,-10001010,1916020,544
6,Colima,10,Villa de Álvarez,1,Ciudad de Villa de Álvarez,-10344160,1916020,117600
15,México,76,San Mateo Atenco,12,Santa María la Asunción,-9933090,1916030,4200
21,Puebla,128,San José Chiapa,7,San José Morelos (Los Ocotes),-9745330,1916040,311
21,Puebla,93,Lafragua,6,Pocitos (San Miguel),-9717000,1916060,636
15,México,118,Zinacantepec,79,Colonia Ricardo Flores Magón,-9945300,1916060,2315
29,Tlaxcala,29,Tepeyanco,9,Santiago Tlacochcalco,-9813230,1916070,1082
21,Puebla,143,San Salvador el Verde,30,Tierra Bendita,-9827570,1916090,343
15,México,25,Chalco,12,San Lucas Amalinalco,-9851470,1916100,3626
21,Puebla,116,Quimixtlán,36,Alto Lucero,-9706190,1916110,416
